osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
387806461,,compacted,grade2,,,0.41,77,Good,yes,yes,track,50.821034,16.70293,50.821062,16.708699,20,23,12,10,7,5
387806476,,compacted,grade2,,,0.62,77,Good,yes,yes,track,50.821801,16.694445,50.821034,16.70293,20,23,12,10,7,5
387806505,,compacted,grade2,,,0.13,77,Good,yes,yes,track,50.821453,16.692698,50.821801,16.694445,20,23,12,10,7,5
417329987,,compacted,grade2,,,0.21,77,Good,yes,yes,track,51.122917,17.31263,51.122016,17.315243,20,23,12,10,7,5
435807648,Droga Murzycka,gravel,,good,,0.35,77,Good,yes,yes,service,51.312515,16.884285,51.309725,16.881939,22,15,18,10,7,5
435807651,Droga Murzycka,gravel,,good,,0.21,77,Good,yes,yes,service,51.314107,16.8859,51.312515,16.884285,22,15,18,10,7,5
435807653,,gravel,,good,,1.99,77,Good,yes,yes,service,51.318193,16.871996,51.330891,16.862736,22,15,18,10,7,5
436114251,,compacted,grade2,,,0.69,77,Good,yes,yes,track,51.106925,17.012399,51.104476,17.003458,20,23,12,10,7,5
448262199,Grobla Blizanowice-Trestno,compacted,,intermediate,,0.16,77,Good,yes,designated,path,51.082245,17.144571,51.083087,17.146481,20,15,15,15,7,5
493716020,,fine_gravel,grade3,intermediate,,1.07,77,Good,yes,yes,track,51.254609,16.824485,51.251903,16.838248,25,15,15,10,7,5
500084974,,compacted,grade2,,,5.51,77,Good,yes,yes,track,51.246272,16.620328,51.238951,16.692695,20,23,12,10,7,5
508293516,,compacted,,intermediate,,0.11,77,Good,yes,yes,path,51.142015,17.098043,51.142899,17.098175,20,15,15,15,7,5
525357005,,compacted,,intermediate,,0.84,77,Good,yes,yes,path,51.146042,17.098551,51.153058,17.102707,20,15,15,15,7,5
550457017,,compacted,,intermediate,,0.18,77,Good,yes,yes,path,51.143208,17.098,51.144284,17.096408,20,15,15,15,7,5
558463959,Prusicka,compacted,grade2,,,0.11,77,Good,yes,yes,track,51.30349,16.924358,51.302893,16.925701,20,23,12,10,7,5
593019557,,compacted,,intermediate,,0.54,77,Good,yes,yes,path,51.190418,17.015476,51.185795,17.017067,20,15,15,15,7,5
